id;numero;date_introduction;observations;bl_suppression;date_suppression;date_modification;date_creation;gp_situation_id;quantite;pi_pi_id;produit_id;date_livraison;id_fiche;a_planifier;site_id;quantite_planifie;type;informations_stock;informations_affectation;type_ordre;lieu_livraison;numero_interne;prix_unitaire;client;designation;reference;qt_coupe;qt_eng;qt_sort;qt_fini;qt_colis;qt_exp;qt_sup1;qt_sup2;qt_sup3;remarques_prod;semaine;model_label;delivered_third;status_code;ordre_type;ligne_production;ehd;chd (date prévue);date_creation_commande;cdd (date réelle);has_planning;status_planning;id_fiche_complement;sf_produit_id;process_produit;date_sortie;inspection;sites_ids;code_conception_produit;traitement_produit;go_prod;theme_id;sites_ids_gpro_col;nombre_colis_refuses;nombre_colis_controles;resultat_controle_interne;nombre_colis;commentaire_qte;date_fin_controle_interne;status_export;implantation;modifier_qt_sortie_manuel;controle_interne;saison_designation;as_export;qte_sortie_chaine;test_labo;maj_qte_of_avec_importation;quantite_from_detail;split;commande_mere;commande_mere_automatique;qte_prise_prod;qte_recue_prod;qte_prise_coupe;qte_recu_coupe;qte_prete_coupe;division_coupe;division_fini;go_shippement;generation;maj_lieu_livraison;nombre_colis_refuses_aql_tournant;nombre_colis_controles_aql_tournant;week_cdd;qte_entree_dos;qte_sortie_dos;qte_entree_devant;qte_sortie_devant;qte_entree_assemblage;qte_entree_finition;qte_entree_preparation;qte_sortie_preparation;qte_supp4;qte_supp1;qte_supp2;qte_supp3;qte_finition;effectif_dos;efficience_dos;effectif_devant;efficience_devant;effectif_assemblage;efficience_assemblage;effectif_preparation;efficience_preparation;qte_sortie_assemblage;premiere_genration_of;code_njp;temps_total_coupe;temps_total_montage;temps_total_emballage;temps_total_preparation;temps_total_controle;temps_total_dos;temps_total_devant;temps_total_assemblage;temps;temps_theorique;efficience_finition;temps_total_finition;effectif_finition;shot;pbd;ped;shipped_qty;remaining_qty;delivered_qty;responsable;customer;ordre_coupe;supplier;laveur;ligne_produit_id;spl_id;spl_designation;magasin_id_tissu;magasin_id_fourniture_conf;magasin_id_fourniture_cond;gp_importation_id;picking_date;efficience;effectif;reservation_tissu;reservation_fourniture;bon_commande;qte_trt;qte_eclatement;qte_sortie_coupe;temps_coupe;temps_matelassage;qte_psc_sortie_controle;qte_psc_entree_finition;qte_psc_sortie_finition;qte_psc_sortie_chaine;qte_psc_engagement;qte_psc_entree_cond;qte_psc_sortie_cond;has_resrvation_global;generateur_fiche_colisage;has_resrvation_global_tissu;has_resrvation_global_fourniture;date_reservation_globale;qte_envoi_intervenant
29504;109771;13/12/2024;;f;;;;;52;43;1807;24/12/2024;;t;;0;Ferme;;;;;109771;0.92;DMT;Tee-SHIRT HOMME  MANCHE Longue;04149UU-T;0;0;0;0;0;0;;;;;;;;V;;;24/12/2024;24/12/2024;;25/12/2024;t;Non Planifier;;18;;;non;;04149UU;;;194;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;52;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
27138;4519755646;13/10/2023;;f;;;;;630;14;1692;26/02/2024;;t;2;418;Ferme;;;WoDo;CAC ST MARTIN;;4.174;PROXY;ELENA PUSH UP;8798892;0;0;0;0;0;0;;;;;;;CAC ST MARTIN;Pending order;Implantation;;26/02/2024;27/02/2024;11/08/2023;05/03/2024;t;Non Prod;;21;;;non;2;115427;;;6;;0;0;;0;;;Standard;NON;f;;;;0;NON;t;0;f;;;0;0;0;0;0;;;non;;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;f;f;;
27144;4519729108;13/10/2023;;f;;;;;858;14;1559;23/02/2024;;t;;0;Ferme;;;WoDo;CAC ST MARTIN;;2.949;PROXY;UV TOP JR100 MC PINK;8603041;0;0;0;0;0;0;;;;;;;CAC ST MARTIN;Pending order;Implantation;;23/02/2024;27/02/2024;09/08/2023;05/03/2024;t;Non Planifier;;18;;;non;;326490;;;6;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;0;f;;;0;0;0;0;0;;;non;;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;f;f;;
28647;4521427360;20/09/2024;;f;;;;;260;14;1696;06/03/2025;;t;;0;Ferme;;;WoDo;CAC ST MARTIN;;4.36;PROXY;ELENA PUSH UP;8646424;0;0;0;0;0;0;;;;;;;CAC ST MARTIN;Pending order;Implantation;;06/03/2025;06/03/2025;07/08/2024;12/03/2025;t;Non Planifier;;21;;;non;;329734;;;6;;0;0;;4;;;Standard;NON;f;;;;0;NON;f;260;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
28356;4521158872;11/06/2024;;f;;;;;180;14;1684;08/07/2024;;t;;0;Ferme;;;WoDo;CAC ST MARTIN;;4.01;PROXY;CARLA 1_PIECE;8851384;0;0;0;0;0;0;;;;;;;CAC ST MARTIN;Pending order;Replenishement;;08/07/2024;04/07/2024;05/06/2024;10/07/2024;t;Non Planifier;;4;;;non;;346471;;;6;;0;0;;9;;;Standard;NON;f;;;;0;NON;f;180;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;823;;;;;;;;;;;;;;;;;;;;1;f;f;;
29366;testofs;19/11/2024;;f;;;;;1;598;1856;14/11/2024;;t;;0;Ferme;;;;;testofs;;ETAM;Test2907;Test2907;0;0;0;0;0;0;;;;;;;;V;;;14/11/2024;19/11/2024;;21/11/2024;t;Non Planifier;;13;;;non;;;;;249;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;1;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;;;;;;;;;;;;;;1;f;f;;
29958;4522684264;14/04/2025;;f;;;;;240;14;1886;07/05/2025;;t;;0;Ferme;;;WoDo;CAC ST MARTIN;;3.15;PROXY TUNISIE;ANA BRA;8916518;0;0;0;0;0;0;;;;;;;CAC ST MARTIN;Order to confirm;Replenishement;;07/05/2025;07/05/2025;08/04/2025;13/05/2025;t;Non Planifier;;5;;;non;;341973;;;6;;0;0;;10;;;Standard;NON;f;;;;0;NON;f;240;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
30161;4522740617;25/04/2025;;f;;;;;150;14;1696;19/05/2025;;t;;0;Ferme;;;WoDo;CAC ROUVIGNIES;;4.36;PROXY TUNISIE;ELENA PUSH UP;8646424;0;0;0;0;0;0;;;;;;;CAC ROUVIGNIES;Order to confirm;Replenishement;;19/05/2025;19/05/2025;23/04/2025;28/05/2025;t;Non Planifier;;21;;;non;;329734;;;6;;0;0;;2;;;Standard;NON;f;;;;0;NON;f;150;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;09/05/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
27349;4519982232;13/10/2023;;f;;;;;140;14;1679;24/04/2024;;t;;0;Ferme;;;WoDo;BOOSTER EMEA;;5.694;PROXY;CARLA BRA;8800412;0;0;0;0;0;0;;;;;;;BOOSTER EMEA;Pending order;Implantation;;24/04/2024;16/04/2024;04/10/2023;06/05/2024;t;Non Planifier;;4;;;non;;335559;;;6;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;0;f;;;0;0;0;0;0;;;non;;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;f;f;;
29399;PX0002;29/10/2024;;f;;;;;9480;19;1924;06/02/2025;;t;;0;Ferme;;;;;PX0002;;ILUNA;PANTY;YPIR0200;0;0;0;0;0;0;;;;;;;;V;;;06/02/2025;06/02/2025;;11/02/2025;t;Non Planifier;;41;;;non;2;YPIR0200;;;243;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;9480;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;0;2.65;0.44;0;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
30287;4522843035;15/05/2025;;f;;;;;240;14;1685;09/06/2025;;t;;0;Ferme;;;WoDo;CAC Molins;;3.88;PROXY TUNISIE;ELISE 1_PIECE;8799910;0;0;0;0;0;0;;;;;;;CAC Molins;Order to confirm;Replenishement;;09/06/2025;09/06/2025;14/05/2025;18/06/2025;t;Non Planifier;;4;;;non;;346481;;;6;;0;0;;10;;;Standard;NON;f;;;;0;NON;f;240;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;21/05/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
27166;4519796037;13/10/2023;;f;;;;;288;14;1526;17/04/2024;;f;2;288;Ferme;;;WoDo;CAC ROUVIGNIES;;3.466;PROXY;ISA BRA ALL OVER BLACK;8756379;0;0;0;0;0;0;;;;;;;CAC ROUVIGNIES;Pending order;Implantation;;17/04/2024;19/04/2024;23/08/2023;01/05/2024;t;Non Prod;;5;;;non;2;339730;;;6;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;0;f;;;0;0;0;0;0;;;non;;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;f;f;;
27543;4519774010;13/10/2023;;f;;;;;1640;14;1696;04/05/2024;;t;2;1482;Ferme;;;WoDo;CAC ST MARTIN;;4.178;PROXY;ELENA PUSH UP;8646424;0;430;0;170;0;0;;;;;;;CAC ST MARTIN;Pending order;Implantation;;04/05/2024;30/04/2024;17/08/2023;08/05/2024;t;Non Prod;;21;;;non;2;329734;;;6;;0;0;;0;;;Standard;NON;f;;;;170;NON;t;0;f;;;0;0;0;0;0;;;non;;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;f;f;;
28693;4521432924;20/09/2024;;f;;;;;78;14;1514;03/03/2025;;t;;0;Ferme;;;WoDo;CAC ST MARTIN;;5.73;PROXY;DOLI WIRE PRINT-BLACK;8357547;0;0;0;0;0;0;;;;;;;CAC ST MARTIN;Pending order;Implantation;;03/03/2025;06/03/2025;07/08/2024;12/03/2025;t;Non Planifier;;19;;;non;;110426;;;6;;0;0;;2;;;Standard;NON;f;;;;0;NON;f;78;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
28811;4521426820;02/10/2024;;f;;;;;216;14;1889;06/03/2025;;t;;0;Ferme;;;WoDo;CAC ST MARTIN;;3.74;PROXY;AURELY BRA UNI;8941152;0;0;0;0;0;0;;;;;;;CAC ST MARTIN;Pending order;Implantation;;06/03/2025;06/03/2025;07/08/2024;12/03/2025;t;Non Planifier;;5;;;non;;339524;;;6;;0;0;;5;;;Standard;NON;f;;;;0;NON;f;216;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
27670;2001043688/51;31/10/2023;;f;;;;;2390;566;1636;24/11/2023;;t;;0;Ferme;;;;;;;CALZEDONIA;BRASILIANO COTONE;1SB05B;0;0;300;825;0;0;;;;;;;;D;;;24/11/2023;24/11/2023;;24/11/2023;t;Non Planifier;;34;;;non;;1SB05B;;;28;;0;0;;0;;;Standard;NON;f;;;;650;NON;f;2390;f;;;0;0;0;0;0;;;non;;f;0;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;f;f;;
29049;4521413076;02/10/2024;;f;;;;;228;14;1881;20/03/2025;;t;;0;Ferme;;;WoDo;CAC ST MARTIN;;3.95;PROXY;1 PIECE AGHATHA;8916459;0;0;0;0;0;0;;;;;;;CAC ST MARTIN;Pending order;Implantation;;20/03/2025;20/03/2025;02/08/2024;26/03/2025;t;Non Planifier;;19;;;non;;339701;;;6;;0;0;;10;;;Standard;NON;f;;;;0;NON;f;228;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
